"","list_treatment","list","term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","outcome","estimator"
"1","Donation","count_a","Z",0.144205884554821,0.192814497975896,0.747899592969656,0.454787120914106,-0.234397881103048,0.52280965021269,660,"count","List"
"2","Donation","count_a","attention_check",0.24983023366949,0.0464169419916077,5.38230704027551,1.02294136112976e-07,0.158687559167169,0.340972908171811,660,"count","List"
"3","Donation","count_a","Z:attention_check",-0.107546248850901,0.0683715559505514,-1.57296769622564,0.116205525452807,-0.241798231033291,0.0267057333314886,660,"count","List"
"4","Evict","count_a","Z",-0.192904888452848,0.170000544694195,-1.13473100218505,0.256902494735728,-0.526715717330161,0.140905940424465,656,"count","List"
"5","Evict","count_a","attention_check",0.167262138370703,0.0424994466680736,3.93563096661099,9.18371945109345e-05,0.0838107850552378,0.250713491686168,656,"count","List"
"6","Evict","count_a","Z:attention_check",0.0693568406013049,0.0649228935899017,1.06829558521238,0.285780154865566,-0.0581248975386711,0.196838578741281,656,"count","List"
"7","Offer Work","count_a","Z",0.182995688247371,0.157743591350112,1.16008318741274,0.246428769964448,-0.12673642385463,0.492727800349371,669,"count","List"
"8","Offer Work","count_a","attention_check",0.225776361881443,0.0413118456441106,5.46517247925545,6.53190471987009e-08,0.144659879768503,0.306892843994382,669,"count","List"
"9","Offer Work","count_a","Z:attention_check",-0.097494473023231,0.0570454583895864,-1.70906634420223,0.08790244325672,-0.209504160146541,0.0145152141000796,669,"count","List"
"10","Threaten","count_a","Z",0.112794998126074,0.169216321436421,0.666572805557967,0.5052769305516,-0.21946945612399,0.445059452376139,663,"count","List"
"11","Threaten","count_a","attention_check",0.176398623296163,0.0498599014868354,3.53788551593384,0.000431496537459797,0.0784962884867524,0.274300958105574,663,"count","List"
"12","Threaten","count_a","Z:attention_check",-0.0432873225817244,0.0667603162422874,-0.64839900435201,0.516951413481833,-0.174374441445372,0.087799796281923,663,"count","List"
"13","Donation","count_b","Z",-0.334146747756787,0.196444434849483,-1.70097334654866,0.0894190279244675,-0.719878129770622,0.0515846342570491,660,"count","List"
"14","Donation","count_b","attention_check",0.091641535620685,0.0515124005006276,1.77901893000635,0.0756968206006166,-0.00950640196880034,0.19278947321017,660,"count","List"
"15","Donation","count_b","Z:attention_check",0.122260783341351,0.070734727714178,1.72844071493959,0.0843769329300427,-0.0166314397876362,0.261153006470338,660,"count","List"
"16","Evict","count_b","Z",0.0484914425826478,0.165940140430757,0.292222499370983,0.770208904449361,-0.277346430000946,0.374329315166242,656,"count","List"
"17","Evict","count_b","attention_check",0.2382046162979,0.0467571419068414,5.09450763206393,4.57681918113582e-07,0.146392908729943,0.330016323865857,656,"count","List"
"18","Evict","count_b","Z:attention_check",-0.0733840835850286,0.063825397705023,-1.14976304455136,0.250660468679579,-0.19871079327095,0.0519426261008926,656,"count","List"
"19","Offer Work","count_b","Z",-0.180966202555246,0.164149836554512,-1.10244521928079,0.270664596165601,-0.503277081508054,0.141344676397563,669,"count","List"
"20","Offer Work","count_b","attention_check",0.193514014066448,0.040519969246625,4.77576902609732,2.20099958441731e-06,0.113952394163869,0.273075633969026,669,"count","List"
"21","Offer Work","count_b","Z:attention_check",0.0348443654499291,0.0594455411037356,0.5861560817341,0.55796833521289,-0.0818779231927863,0.151566654092644,669,"count","List"
"22","Threaten","count_b","Z",-0.141499430695865,0.168407020652792,-0.840222872819517,0.401086329488055,-0.47217478360562,0.189175922213891,663,"count","List"
"23","Threaten","count_b","attention_check",0.160588350030587,0.0469908307398543,3.41744011549018,0.000670781111105225,0.0683195747848068,0.252857125276367,663,"count","List"
"24","Threaten","count_b","Z:attention_check",0.0361261856665686,0.0664515279768147,0.543647178123177,0.586867036672944,-0.0943546124613769,0.166606983794514,663,"count","List"
"25","Donation",NA,"Z",-0.0891343418750229,0.101424672457176,-0.87882306854535,0.380028760449765,-0.288530876119228,0.110262192369182,397.035133030004,"count","DLE"
"26","Donation",NA,"attention_check",0.175873844664814,0.0348206865962174,5.05084367532028,8.3063062152847e-07,0.107306303191695,0.244441386137934,259.124958504862,"count","DLE"
